,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
0,Bredasdorp,-34.53,20.04,44.6,87,43,3.36,ZA,1596670968
1,Atuona,-9.8,-139.03,79.23,71,6,16.8,PF,1596670968
2,Cidreira,-30.18,-50.21,60.98,79,0,8.81,BR,1596670687
3,Bowen,-20.02,148.23,75.0,94,60,4.7,AU,1596670969
4,Davlekanovo,54.22,55.03,66.2,88,3,4.47,RU,1596670969
5,Usinsk,65.99,57.53,60.62,90,100,15.37,RU,1596670969
6,Ampanihy,-24.7,44.75,59.92,94,10,4.79,MG,1596670970
7,Necochea,-38.55,-58.74,54.0,98,63,1.99,AR,1596670970
8,Vaini,-21.2,-175.2,75.2,69,20,6.93,TO,1596670970
9,Punta Arenas,-53.15,-70.92,37.4,74,100,23.04,CL,1596670948
10,Muros,42.78,-9.06,66.0,83,0,7.0,ES,1596670970
11,George Town,5.41,100.34,82.4,88,20,1.12,MY,1596670971
12,Itoman,26.12,127.67,86.0,70,20,6.93,JP,1596670971
13,Jamestown,42.1,-79.24,66.0,72,20,8.05,US,1596670971
14,Rikitea,-23.12,-134.97,70.54,75,67,9.48,PF,1596670971
15,Ostrovnoy,68.05,39.51,56.97,86,100,13.02,RU,1596670972
16,Ushuaia,-54.8,-68.3,37.4,88,75,16.11,AR,1596670874
17,Volksrust,-27.37,29.88,39.67,91,24,4.92,ZA,1596670973
18,Tura,25.52,90.22,75.22,97,95,4.7,IN,1596670973
19,Springfield,37.22,-93.3,80.6,51,1,9.17,US,1596670973
20,Margherita,27.28,95.68,79.09,79,37,2.62,IN,1596670974
21,Hong Kong,22.29,114.16,82.0,88,99,5.01,HK,1596670711
22,Pizarro,4.95,-77.37,77.34,89,95,7.18,CO,1596670974
23,Mataura,-46.19,168.86,46.0,90,100,3.0,NZ,1596670975
24,Raudeberg,61.99,5.14,61.0,93,100,13.87,NO,1596670977
25,Sai Buri,6.7,101.62,79.34,83,100,3.96,TH,1596670977
26,Pringsewu,-5.36,104.97,74.82,87,60,0.94,ID,1596670977
27,Jalu,29.03,21.55,84.99,23,0,7.7,LY,1596670979
28,Marawi,8.0,124.29,75.0,96,83,3.0,PH,1596670979
29,Jijiga,9.35,42.8,62.29,82,94,18.54,ET,1596670979
30,Mergen,49.18,125.22,60.6,89,100,7.94,CN,1596670979
31,Richards Bay,-28.78,32.04,62.76,85,20,12.3,ZA,1596670980
32,Kieta,-6.22,155.63,84.36,69,91,4.03,PG,1596670980
33,Flinders,-34.58,150.86,53.01,53,0,11.01,AU,1596670980
34,Corrente,-3.74,-43.34,74.61,59,0,0.81,BR,1596670980
35,Vestmanna,62.16,-7.17,50.0,100,35,14.99,FO,1596670981
36,Bluff,-46.6,168.33,46.0,90,100,3.0,NZ,1596670981
37,Carnarvon,-24.87,113.63,50.0,87,0,6.93,AU,1596670981
38,Ribeira Grande,38.52,-28.7,70.41,70,74,6.85,PT,1596670981
39,Rafai,4.95,23.92,68.83,98,100,2.06,CF,1596670982
40,Bilma,18.69,12.92,94.62,28,3,6.26,NE,1596670982
41,Pyu,18.48,96.43,75.65,95,96,4.0,MM,1596670982
42,Río Gallegos,-51.62,-69.22,35.6,80,90,11.41,AR,1596670982
43,Busselton,-33.65,115.33,44.01,85,0,8.23,AU,1596670983
44,Ponta do Sol,32.67,-17.1,71.6,73,75,10.29,PT,1596670983
45,Hobart,-42.88,147.33,46.4,65,75,13.87,AU,1596670730
46,Trincomalee,8.57,81.23,82.63,69,100,19.15,LK,1596670984
47,Kapaa,22.08,-159.32,84.0,78,90,18.34,US,1596670984
48,Avarua,-21.21,-159.78,77.0,88,3,13.87,CK,1596670984
49,Saint Paul Harbor,57.79,-152.41,71.6,40,1,11.41,US,1596670984
50,Ewo,-0.87,14.82,76.68,69,100,7.56,CG,1596670985
51,Faanui,-16.48,-151.75,78.39,82,12,14.54,PF,1596670985
52,Albany,42.6,-73.97,75.99,54,1,6.38,US,1596670819
53,Ilulissat,69.22,-51.1,41.0,86,97,1.12,GL,1596670751
54,Saldanha,-33.01,17.94,41.0,80,0,3.36,ZA,1596670985
55,Shubarshi,48.59,57.19,70.0,71,85,3.22,KZ,1596670986
56,Mar del Plata,-38.0,-57.56,59.0,87,93,4.7,AR,1596670840
