,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
0,Rikitea,-23.12,-134.97,70.56,77,34,11.18,PF,1596687558
1,Puerto Ayora,-0.74,-90.35,66.0,96,81,3.0,EC,1596687558
2,Tura,25.52,90.22,77.07,96,99,5.73,IN,1596687559
3,Ushuaia,-54.8,-68.3,37.4,74,40,11.41,AR,1596687559
4,Cape Town,-33.93,18.42,50.0,93,75,4.7,ZA,1596687442
5,New Norfolk,-42.78,147.06,52.0,65,31,5.01,AU,1596687560
6,Constitución,-35.33,-72.42,48.43,64,0,12.44,CL,1596687560
7,Kapaa,22.08,-159.32,82.4,69,90,12.75,US,1596686996
8,Albany,42.6,-73.97,62.01,67,1,3.78,US,1596686951
9,General Cepeda,25.38,-101.45,71.6,46,5,9.17,MX,1596687561
10,Taltal,-25.4,-70.48,56.66,74,20,1.83,CL,1596687562
11,Mahébourg,-20.41,57.7,68.0,64,75,9.17,MU,1596687042
12,Isangel,-19.55,169.27,77.0,53,20,9.17,VU,1596687564
13,Hermanus,-34.42,19.23,39.99,96,55,7.18,ZA,1596686998
14,Hilo,19.73,-155.09,82.4,61,90,6.93,US,1596687022
15,Knysna,-34.04,23.05,46.4,81,75,12.75,ZA,1596687565
16,Eyl,7.98,49.82,80.08,60,98,27.09,SO,1596687565
17,Kaitangata,-46.28,169.85,50.0,75,100,4.92,NZ,1596687129
18,Palmetto,27.52,-82.57,82.0,74,1,4.7,US,1596687566
19,Gorom-Gorom,14.44,-0.24,80.69,70,48,11.65,BF,1596687567
20,San Miguel de Tucumán,-26.82,-65.22,66.2,68,0,6.93,AR,1596687567
21,Arraial do Cabo,-22.97,-42.03,69.33,73,0,15.08,BR,1596687065
22,São João da Barra,-21.64,-41.05,68.41,73,5,9.64,BR,1596687568
23,Busselton,-33.65,115.33,61.0,46,5,8.81,AU,1596686994
24,Vardø,70.37,31.11,51.8,87,75,6.93,NO,1596687011
25,Mayor Pablo Lagerenza,-19.93,-60.77,73.58,37,0,6.44,PY,1596687570
26,Bagdarin,54.43,113.6,62.31,81,96,4.05,RU,1596687570
27,East London,-33.02,27.91,53.6,100,90,25.28,ZA,1596686911
28,Tasiilaq,65.61,-37.64,46.4,75,100,3.36,GL,1596687049
29,Vaini,-21.2,-175.2,75.2,69,40,5.82,TO,1596686982
30,Esperance,-33.87,121.9,55.4,76,90,12.75,AU,1596687118
31,Saint-Pierre,-21.34,55.48,66.2,55,75,4.7,RE,1596687572
32,Morón,-34.65,-58.62,68.0,73,56,5.99,AR,1596687039
33,Northam,51.03,-4.22,61.0,98,45,1.99,GB,1596687572
34,Horta,38.53,-28.63,69.82,72,100,9.31,PT,1596687163
35,Saint Paul Harbor,57.79,-152.41,59.05,69,100,14.43,US,1596686996
36,Srednekolymsk,67.45,153.68,73.87,26,49,14.47,RU,1596687045
37,Rincon,32.3,-81.24,80.6,83,90,3.91,US,1596687573
38,Punta Arenas,-53.15,-70.92,35.6,80,0,23.04,CL,1596686705
39,Pereslavl'-Zalesskiy,56.74,38.86,65.41,84,95,6.64,RU,1596687574
40,Mar del Plata,-38.0,-57.56,57.2,76,3,9.17,AR,1596686870
41,Yangi Marg`ilon,40.43,71.72,86.0,28,0,4.7,UZ,1596687029
42,Torbay,47.67,-52.73,55.99,93,75,18.34,CA,1596686716
43,Mataura,-46.19,168.86,51.01,81,100,1.99,NZ,1596686988
44,Klyuchi,52.27,79.17,77.5,40,0,11.14,RU,1596687576
45,Kutum,14.2,24.67,67.98,90,88,7.76,SD,1596687576
46,Umluj,25.02,37.27,86.83,53,0,3.06,SA,1596687576
47,Esim,4.87,-2.24,72.79,79,74,10.94,GH,1596687577
48,Ereymentau,51.62,73.1,73.87,43,0,14.16,KZ,1596687577
49,Nara,34.69,135.8,93.99,59,40,11.41,JP,1596686954
50,Caravelas,-17.71,-39.25,69.17,74,38,8.93,BR,1596687163
51,Bayanday,53.07,105.51,67.75,76,100,9.84,RU,1596687578
52,Ribeira Grande,38.52,-28.7,70.29,72,100,9.35,PT,1596686993
53,Cap Malheureux,-19.98,57.61,69.01,68,100,5.01,MU,1596687058
54,Muros,42.78,-9.06,64.99,86,0,3.0,ES,1596686836
55,Port Alfred,-33.59,26.89,55.44,78,99,21.39,ZA,1596687051
56,Butaritari,3.07,172.79,84.42,74,32,21.68,KI,1596687020
57,Barrow,71.29,-156.79,48.2,70,40,3.36,US,1596686783
58,Atuona,-9.8,-139.03,79.27,75,7,18.72,PF,1596687170
59,San Andrés,12.58,-81.7,78.8,88,90,2.24,CO,1596687040
60,Lorengau,-2.02,147.27,84.31,67,100,8.84,PG,1596687108
61,Jamestown,42.1,-79.24,57.2,82,1,1.68,US,1596686791
62,Nome,64.5,-165.41,55.99,66,90,4.7,US,1596686939
63,Yarim,14.3,44.38,59.23,77,84,3.69,YE,1596687584
64,Khani,41.96,42.96,69.8,94,58,2.24,GE,1596687070
65,Araguaçu,-12.93,-49.83,68.5,31,0,8.34,BR,1596687585
66,Carnarvon,-24.87,113.63,69.8,46,0,14.99,AU,1596686992
67,Dikson,73.51,80.55,46.49,94,100,17.27,RU,1596687035
68,Bluff,-46.6,168.33,51.01,81,100,1.99,NZ,1596686992
69,Juradó,7.11,-77.76,77.31,88,100,3.85,CO,1596687587
70,Along,28.17,94.77,94.23,48,23,1.9,IN,1596687587
71,Hasaki,35.73,140.83,95.0,66,40,10.29,JP,1596687020
72,Chui,-33.7,-53.46,62.46,86,0,10.45,UY,1596687058
73,Bethel,41.37,-73.41,66.99,93,20,4.7,US,1596687000
74,Chokurdakh,70.63,147.92,66.76,50,100,8.19,RU,1596687006
75,Qaanaaq,77.48,-69.36,32.02,86,3,3.13,GL,1596687017
76,Yamandu,7.94,-11.49,66.02,94,50,0.09,SL,1596687589
77,Homer,59.64,-151.55,64.4,59,1,12.75,US,1596687541
78,Cayenne,4.93,-52.33,75.2,100,76,7.18,GF,1596687162
79,George Town,5.41,100.34,87.8,74,20,2.24,MY,1596687590
80,Geraldton,-28.77,114.6,60.8,72,0,10.29,AU,1596687018
81,Najrān,17.49,44.13,82.4,54,53,11.41,SA,1596687591
82,Kununurra,-15.77,128.73,84.2,19,75,8.05,AU,1596687591
83,Mocuba,-16.84,36.99,61.16,95,1,1.95,MZ,1596687106
84,Iqaluit,63.75,-68.51,53.6,100,90,6.93,CA,1596687094
85,Bredasdorp,-34.53,20.04,44.6,81,79,8.05,ZA,1596687169
86,Sur,22.57,59.53,88.16,60,20,2.89,OM,1596687039
87,Khatanga,71.97,102.5,64.6,62,100,12.03,RU,1596687062
88,Nikolskoye,59.7,30.79,59.0,67,38,2.24,RU,1596687044
89,Hobart,-42.88,147.33,52.0,57,40,16.11,AU,1596686955
90,Baruun-Urt,46.68,113.28,79.92,38,5,4.81,MN,1596687138
91,Vestmannaeyjar,63.44,-20.27,51.49,85,91,13.33,IS,1596687007
92,Viedma,-40.81,-63.0,48.11,53,0,14.18,AR,1596687594
93,Yellowknife,62.46,-114.35,66.99,68,75,8.05,CA,1596687041
94,Vila Franca do Campo,37.72,-25.43,68.0,88,20,8.05,PT,1596687595
95,Bahir Dar,11.59,37.39,59.41,92,100,3.04,ET,1596687595
96,Castro,-24.79,-50.01,51.17,91,0,3.29,BR,1596686954
97,Iskateley,67.68,53.15,61.52,89,100,24.72,RU,1596687146
98,Bubaque,11.28,-15.83,79.25,83,83,18.48,GW,1596687596
99,Beloha,-25.17,45.05,60.03,94,0,4.09,MG,1596686841
100,Cuiluan,47.72,128.65,71.24,72,87,7.07,CN,1596687597
101,Lebu,-37.62,-73.65,45.52,81,2,4.12,CL,1596687069
102,Ranfurly,-45.13,170.1,53.01,61,99,1.01,NZ,1596687597
103,Longyearbyen,78.22,15.64,51.8,81,75,6.93,SJ,1596687019
104,Avarua,-21.21,-159.78,77.0,88,0,13.87,CK,1596687598
105,Sola,-13.88,167.55,80.6,74,75,10.29,VU,1596687598
106,Ascension,30.22,-90.9,80.01,88,10,4.97,US,1596687598
107,Aykhal,66.0,111.5,78.8,24,3,6.71,RU,1596687599
108,Latung,5.5,120.88,83.01,74,55,7.9,PH,1596687599
109,Cabra,37.47,-4.44,75.0,50,0,2.82,ES,1596687600
110,Mazagão,-0.12,-51.29,80.6,100,15,3.36,BR,1596687016
111,Pevek,69.7,170.31,34.83,97,100,3.22,RU,1596687027
112,Vila,42.03,-8.16,64.99,83,0,3.0,PT,1596687600
113,Tiksi,71.69,128.87,54.66,84,100,3.87,RU,1596687074
114,San Cristobal,7.77,-72.22,66.16,91,90,3.89,VE,1596687601
115,Nouakchott,18.09,-15.98,80.6,78,75,9.17,MR,1596687601
116,San Patricio,19.22,-104.7,81.32,83,100,3.31,MX,1596687057
117,Clarence Town,-32.58,151.78,60.01,30,0,11.41,AU,1596687035
118,Shatsk,54.03,41.71,63.19,82,100,7.61,RU,1596687602
119,Laguna,38.42,-121.42,64.99,77,1,8.05,US,1596687603
120,Bealanana,-14.55,48.73,53.28,83,84,3.58,MG,1596687603
121,Nador,35.17,-2.93,78.8,83,40,5.82,MA,1596687604
122,Upata,8.01,-62.4,77.0,92,100,1.99,VE,1596687604
123,Abadan,38.05,58.21,77.0,53,40,11.41,TM,1596687604
124,Douglas,41.3,-96.17,71.6,73,40,6.93,US,1596687515
125,Zhigansk,66.77,123.37,75.18,36,90,1.01,RU,1596687605
126,Saint-Philippe,-21.36,55.77,66.2,55,90,3.36,RE,1596687073
127,Provideniya,64.38,-173.3,53.6,66,75,13.42,RU,1596687061
128,Ilulissat,69.22,-51.1,39.2,93,90,3.36,GL,1596687606
129,Bucerías,20.75,-105.33,81.0,94,90,5.82,MX,1596687607
130,Hoquiam,46.98,-123.89,64.0,88,90,11.41,US,1596687607
131,Port Elizabeth,-33.92,25.57,50.0,93,90,13.87,ZA,1596687011
132,Ostrovnoy,68.05,39.51,59.29,81,70,14.76,RU,1596687609
133,Arlit,18.74,7.39,91.65,34,12,11.12,NE,1596687610
134,Safi,32.3,-9.24,70.29,90,66,4.09,MA,1596687610
135,Bambanglipuro,-7.95,110.28,82.85,64,48,16.69,ID,1596687610
136,Karak,31.17,35.75,60.8,87,0,6.93,JO,1596687611
137,Jinchang,38.5,102.17,85.37,29,22,6.46,CN,1596687611
138,Tuy Hoa,13.08,109.3,87.69,68,100,4.25,VN,1596687611
139,Evensk,61.95,159.23,60.73,57,92,8.34,RU,1596687611
140,Ancud,-41.87,-73.82,42.01,86,20,6.93,CL,1596687044
141,Edzell,56.81,-2.65,55.4,93,23,8.05,GB,1596687612
142,Agadez,19.75,10.25,85.78,17,0,8.5,NE,1596687612
143,Katangli,51.71,143.23,54.39,84,100,4.97,RU,1596687613
144,Tuktoyaktuk,69.45,-133.04,50.0,87,90,9.17,CA,1596687613
145,Mandalgovi,45.76,106.27,79.47,34,94,14.99,MN,1596687614
146,Le Port,-20.94,55.29,68.0,56,75,8.05,RE,1596687614
147,Kahului,20.89,-156.47,84.2,58,40,18.34,US,1596687614
148,Namatanai,-3.67,152.43,85.41,69,100,11.01,PG,1596687615
149,Paraty,-23.22,-44.71,62.31,79,5,3.24,BR,1596687615
150,Pyapon,16.28,95.68,79.14,87,100,9.1,MM,1596687615
151,Longyan,25.11,117.02,78.94,79,100,0.67,CN,1596687617
152,Grand Gaube,-20.01,57.66,69.01,68,100,5.01,MU,1596687147
153,Kousséri,12.08,15.03,77.0,94,20,5.82,CM,1596687618
154,Quatre Cocos,-20.21,57.76,69.8,56,75,10.29,MU,1596687618
155,Fortuna,40.6,-124.16,60.01,94,59,5.88,US,1596687128
156,Palekastro,35.2,26.25,81.0,50,0,8.01,GR,1596687618
157,Manzanillo,20.34,-77.12,78.85,85,1,2.46,CU,1596687619
158,Upernavik,72.79,-56.15,36.54,93,100,6.35,GL,1596687619
159,Husavik,66.04,-17.34,51.8,76,96,10.29,IS,1596687620
160,Bengkulu,-3.8,102.27,85.06,68,75,4.45,ID,1596687021
161,Jalu,29.03,21.55,81.54,36,0,10.74,LY,1596687620
162,Columbus,39.96,-83.0,64.4,77,20,5.82,US,1596687422
163,Skibbereen,51.55,-9.27,53.6,93,75,3.36,IE,1596687621
164,Okha,53.57,142.95,60.49,74,18,11.61,RU,1596687622
165,Iracoubo,5.48,-53.2,77.92,87,100,7.87,GF,1596687164
166,Thompson,55.74,-97.86,66.2,72,20,2.24,CA,1596687337
167,Senneterre,48.38,-77.23,55.4,100,90,5.82,CA,1596687623
168,Roald,62.58,6.13,60.01,93,100,3.36,NO,1596687088
169,Mossamedes,-15.2,12.15,59.76,87,2,5.03,AO,1596687060
170,Saint George,37.1,-113.58,93.2,9,1,9.17,US,1596686914
171,Hjelset,62.78,7.48,57.2,93,100,4.7,NO,1596687624
172,Lagunas,-5.23,-75.68,73.58,76,14,0.69,PE,1596687625
173,Paita,-5.09,-81.11,60.73,83,59,9.78,PE,1596687625
174,Luau,-10.71,22.22,56.93,35,0,5.23,AO,1596687625
175,Cherskiy,68.75,161.3,56.03,61,93,5.61,RU,1596687053
176,Mortka,59.33,66.02,69.33,55,0,3.62,RU,1596687626
177,Asău,46.43,26.4,63.0,80,0,4.25,RO,1596687064
178,Havøysund,71.0,24.66,50.0,93,15,2.24,NO,1596687627
179,Port Lincoln,-34.73,135.87,51.91,61,100,19.08,AU,1596687628
180,Lavrentiya,65.58,-171.0,45.43,72,100,13.29,RU,1596687114
181,Tailai,46.38,123.4,79.95,50,16,11.25,CN,1596687629
182,Bambous Virieux,-20.34,57.76,69.01,64,75,9.17,MU,1596687090
183,Kholuy,56.58,41.87,65.48,76,100,2.01,RU,1596687629
184,Cochrane,51.18,-114.47,72.0,56,1,8.05,CA,1596687630
185,Kyshtovka,56.55,76.63,75.34,59,2,3.49,RU,1596687630
186,Leningradskiy,69.38,178.42,36.64,90,100,9.44,RU,1596687041
187,Nynäshamn,58.9,17.95,66.0,85,95,13.38,SE,1596687631
188,Bima,-8.47,118.72,86.45,47,42,8.23,ID,1596687047
189,Egvekinot,66.32,-179.17,43.84,66,100,0.94,RU,1596686906
190,Vestmanna,62.16,-7.17,50.0,100,44,10.29,FO,1596687632
191,Los Llanos de Aridane,28.66,-17.92,73.4,73,90,12.75,ES,1596687140
192,Santa Rosa,14.31,121.11,89.01,69,77,7.0,PH,1596687158
193,Morehead,37.27,-87.18,64.0,93,1,5.19,US,1596687633
194,Kalmunai,7.42,81.82,88.68,53,100,12.19,LK,1596687633
195,Helong,42.54,129.0,67.28,89,100,3.42,CN,1596687634
196,Katsuura,35.13,140.3,93.0,70,40,18.34,JP,1596687634
197,Grindavik,63.84,-22.43,48.2,93,75,16.11,IS,1596687077
198,Lakes Entrance,-37.88,147.98,55.0,57,1,4.0,AU,1596687635
199,Bria,6.54,21.99,66.9,96,100,3.89,CF,1596687635
200,São Filipe,14.9,-24.5,77.99,83,31,7.7,CV,1596687047
201,Praia da Vitória,38.73,-27.07,71.6,83,40,6.26,PT,1596687143
202,Sangar,63.92,127.47,75.96,37,0,2.51,RU,1596687636
203,Mponela,-13.53,33.74,59.43,61,0,7.83,MW,1596687636
204,Cam Ranh,11.92,109.16,89.6,66,20,5.82,VN,1596687637
205,Bowen,-20.02,148.23,79.0,61,56,12.75,AU,1596686900
206,Sumbe,-11.21,13.84,68.54,90,9,5.95,AO,1596687639
207,Farafangana,-22.82,47.83,63.68,89,30,5.44,MG,1596687640
208,Saldanha,-33.01,17.94,39.2,80,0,1.12,ZA,1596687640
209,Zheleznodorozhnyy,55.75,38.0,64.4,93,100,2.24,RU,1596687640
210,Barcelos,41.54,-8.62,72.0,100,0,2.33,PT,1596687640
211,Seoul,37.57,126.98,77.0,83,90,3.36,KR,1596687300
212,Hong Kong,22.29,114.16,91.0,77,100,11.01,HK,1596687571
213,Shimoda,34.67,138.95,87.01,74,20,16.11,JP,1596687167
214,Tabou,4.42,-7.35,71.13,79,72,7.34,CI,1596687155
215,Marfino,55.7,37.38,64.4,77,100,4.47,RU,1596687642
216,Petropavlovsk-Kamchatskiy,53.05,158.65,60.8,87,75,15.66,RU,1596687642
217,Codrington,-38.27,141.97,53.04,72,14,13.2,AU,1596687130
218,Ozinki,51.18,49.68,74.07,72,15,12.97,RU,1596687643
219,Puerto Colombia,10.99,-74.95,84.2,83,20,10.29,CO,1596687643
220,Lüderitz,-26.65,15.16,51.8,53,0,18.34,NA,1596687091
221,Carutapera,-1.2,-46.02,75.18,88,21,3.51,BR,1596687078
222,Opuwo,-18.06,13.84,47.08,71,0,1.39,NA,1596687644
223,Imbituba,-28.24,-48.67,64.4,93,3,11.41,BR,1596687644
224,Khorramshahr,30.44,48.17,91.4,38,0,9.17,IR,1596687645
225,Skellefteå,64.75,20.95,53.6,93,37,1.12,SE,1596687645
226,Solton,52.84,86.48,72.09,59,25,0.72,RU,1596687646
227,Rafaela,-31.25,-61.49,69.01,44,13,1.99,AR,1596687646
228,Pahrump,36.21,-115.98,88.0,16,0,1.99,US,1596687646
229,Tokur,53.13,132.9,66.29,46,55,8.21,RU,1596687647
230,Luena,-11.78,19.92,50.31,44,11,3.47,AO,1596687648
